,window_idx,ppo_reward,ddpg_reward,a2c_reward,ensemble_reward,ensemble_sharpe,ensemble_total_return,ensemble_annual_return,ensemble_max_drawdown,start_date,end_date
0,0,-3.0975735187530518,-0.3480806350708008,-3.28887677192688,-2.6806037,-1.2455096977592368,-0.029315937500000055,-0.31264431604900245,-0.09446593029692253,2020-12-28,2021-01-27
1,1,4.161439895629883,0.15254569053649902,4.638154983520508,4.4522324,2.788969619209757,0.043801953125000015,0.7162799341585364,-0.024738871618241367,2021-01-28,2021-02-26
2,2,-6.942366123199463,-6.618780136108398,-6.942366123199463,-6.9417515,-4.497819968047121,-0.06858023437500005,-0.5914618028945553,-0.08515737055718711,2021-03-01,2021-03-26
3,3,6.133667469024658,3.3648555278778076,6.133667469024658,6.237446,4.777010867223987,0.06312687500000003,1.1625801932481754,-0.015471288060073321,2021-03-29,2021-04-27
4,4,1.3160152435302734,-1.691907286643982,1.3160152435302734,6.3490434,3.7576661810087595,0.06354132812499991,1.1732269004391136,-0.030619477131222865,2021-04-28,2021-05-25
5,5,-0.6035667657852173,1.5538398027420044,0.7018091678619385,2.7091284,1.9615833983221342,0.026209687499999967,0.3853993751407321,-0.055358601013145464,2021-05-26,2021-06-23
6,6,0.9970895648002625,-0.3351895809173584,-0.022811293601989746,1.8038582,1.5657371907298308,0.017345156249999993,0.2419406812098115,-0.03207174864767928,2021-06-24,2021-07-22
7,7,-9.050668716430664,-5.64222526550293,-1.6837981939315796,-4.022153,-5.660958797736167,-0.039771406249999974,-0.4003188580704157,-0.04181862065331033,2021-07-23,2021-08-19
8,8,-11.520407676696777,-1.414620041847229,-11.520407676696777,-9.393976,-6.95720287658271,-0.0909434375,-0.6992224482787229,-0.09901653094011065,2021-08-20,2021-09-17
9,9,2.883009910583496,3.2324206829071045,4.023281097412109,3.0104663,1.6983386346061857,0.028505156250000052,0.42495635857163694,-0.046475034826213485,2021-09-20,2021-10-18
10,10,-9.61929702758789,-0.21248269081115723,-0.21248269081115723,-0.22524552,-0.30157758102624704,-0.002600625000000023,-0.03227813011904124,-0.029278259092471167,2021-10-19,2021-11-17
11,11,0.5029747486114502,0.9182372689247131,0.9182372689247131,0.80837387,1.889718257621592,0.007998750000000054,0.10559462518142126,-0.008540208484490436,2021-11-18,2021-12-15
12,12,7.6409592628479,7.740678310394287,8.186927795410156,6.795338,5.587538065288435,0.06920656250000001,1.3236802005451973,-0.014313580634126378,2021-12-17,2022-01-17
13,13,5.40319299697876,8.266498565673828,6.68520975112915,7.895636,4.086760465393759,0.0794817187500001,1.621275555158665,-0.038958675145359445,2022-01-18,2022-02-14
14,14,2.0107431411743164,2.1054177284240723,1.4476944208145142,2.1054177,0.5569769509936631,0.012086484374999928,0.16343487476903107,-0.15315979863281,2022-02-15,2022-03-17
15,15,3.349686861038208,-0.0038118958473205566,3.419525146484375,3.3846095,4.233445550694773,0.03398390625000003,0.5236093063958143,-0.011734654922294084,2022-03-18,2022-04-14
16,16,-0.8204523921012878,5.098062038421631,1.2757244110107422,4.1413684,5.638415184772877,0.041885624999999926,0.6769981381850536,-0.009987623131683403,2022-04-18,2022-05-16
17,17,-3.814540147781372,-0.7586066126823425,-4.231682777404785,-3.1957512,-3.396568044293928,-0.03202109374999995,-0.3363940708553852,-0.039834292171562535,2022-05-17,2022-06-13
18,18,1.2526992559432983,0.0,1.2526992559432983,1.2526993,1.5634911258519748,0.012193906250000053,0.16499175462245375,-0.020610813118383364,2022-06-14,2022-07-12
19,19,7.07266092300415,9.383930206298828,7.262532711029053,7.5409393,9.903797936313255,0.07777687500000008,1.5695889098432172,-0.005102433406416316,2022-07-13,2022-08-09
20,20,-0.008486047387123108,-4.787654399871826,-0.008486047387123108,-0.02095375,-0.05552502845774187,-0.00029921875000005205,-0.00376362017418741,-0.009430003967230028,2022-08-10,2022-09-06
21,21,3.1990020275115967,2.5081520080566406,3.1990020275115967,1.3546053,2.1788103751153107,0.013388671875000036,0.18243743316305383,-0.01201844545914779,2022-09-08,2022-10-06
22,22,0.0,-4.417412757873535,0.37284421920776367,0.42857075,0.14310944261768918,-0.0012687500000000407,-0.015869136945499407,-0.08447868047155276,2022-10-07,2022-11-07
23,23,2.7289955615997314,4.854896545410156,5.855234622955322,5.227844,5.175701321355858,0.052925781249999915,0.9151895870584827,-0.02213015877664722,2022-11-08,2022-12-06
24,24,2.4869296550750732,-0.022676944732666016,0.3249658942222595,2.872776,3.288383486635945,0.028632578125000085,0.42718234093845675,-0.019828420754533477,2022-12-07,2023-01-04
25,25,1.7847952842712402,1.434177041053772,2.328949213027954,1.7822777,1.7444592459868473,0.01730117187500002,0.24126429833833307,-0.032194301777598085,2023-01-05,2023-02-01
26,26,1.0352298021316528,1.1725947856903076,-1.1915879249572754,0.5409921,0.3132457461280282,0.0035687499999998984,0.04590883261724299,-0.04650499969354657,2023-02-02,2023-03-03
27,27,0.0,-1.5407366752624512,-0.6851314902305603,-1.040582,-2.3930655079159604,-0.010472499999999996,-0.12422783163399809,-0.025397235578002778,2023-03-06,2023-03-31
28,28,-0.05452655628323555,-3.6496565341949463,-0.08429613709449768,-0.14930278,-1.8254432051774023,-0.001496171874999952,-0.01868903555847956,-0.0041276090629897505,2023-04-03,2023-05-03
29,29,0.0,-2.3627920150756836,0.9347111582756042,0.2952177,1.9607916318370844,0.0029420312499999213,0.03770876329561279,-0.0035216102551053783,2023-05-04,2023-06-02
