,window_idx,ppo_reward,ddpg_reward,a2c_reward,ensemble_reward,ensemble_sharpe,ensemble_total_return,ensemble_annual_return,ensemble_max_drawdown,start_date,end_date
0,0,0.0,0.0,-0.2753788232803345,0.0,0.0,0.0,0.0,0.0,2020-12-28,2021-01-27
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-17,2022-01-17
2,2,0.0,0.0,-0.4996422231197357,-0.43569598,3.7626113754381816,0.01549953124999992,0.21384871703629726,-0.00353941926918638,2022-12-07,2023-01-04
3,3,0.0,0.0,-0.3363313674926758,-0.07304664,8.79901333367389,0.005140624999999899,0.066738603242811,-0.00022281258703616934,2023-11-30,2023-12-28
4,4,0.0,-0.03043428249657154,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-19,2024-12-17
