,window_idx,ppo_sharpe,ddpg_sharpe,a2c_sharpe,ensemble_sharpe
0,0,-0.05871478095650673,0.0,-0.08489962667226791,0.0
1,1,0.0,0.0,-0.2892703115940094,0.0
2,2,0.0,0.0,-0.4996192157268524,0.0
